timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679496865433,13,S01_T01_LaunchApp  /api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en ,200,,Thread Group 1-2,,true,,533,436,2,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,13,0,0
1679496865446,3,S01_T01_LaunchApp  /api/v1/store/DEFAULT ,200,,Thread Group 1-2,text,true,,1163,340,2,2,http://localhost:8080/api/v1/store/DEFAULT,3,0,0
1679496865449,16,S01_T01_LaunchApp  /api/v1/category/?count=20&page=0&store=DEFAULT&lang=en ,200,,Thread Group 1-2,,true,,533,431,2,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,16,0,0
1679496865465,3,S01_T01_LaunchApp  /api/v1/content/pages/ ,200,,Thread Group 1-2,text,true,,511,379,2,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,3,0,0
1679496865469,3,S01_T01_LaunchApp  /api/v1/category/ ,200,,Thread Group 1-2,text,true,,1531,374,2,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,3,0,0
1679496865472,12,S01_T01_LaunchApp  /api/v1/product/1/price/ ,200,,Thread Group 1-2,,true,,533,414,2,2,http://localhost:8080/api/v1/product/1/price/,12,0,0
1679496865484,11,S01_T01_LaunchApp  /api/v1/product/52/price/ ,200,,Thread Group 1-2,,true,,533,415,2,2,http://localhost:8080/api/v1/product/52/price/,11,0,0
1679496865495,10,S01_T01_LaunchApp  /api/v1/product/50/price/ ,200,,Thread Group 1-2,,true,,533,415,2,2,http://localhost:8080/api/v1/product/50/price/,10,0,0
1679496865505,10,S01_T01_LaunchApp  /api/v1/product/51/price/ ,200,,Thread Group 1-2,,true,,533,415,2,2,http://localhost:8080/api/v1/product/51/price/,10,0,0
1679496865516,11,S01_T01_LaunchApp  /api/v1/product/1/price/ ,200,,Thread Group 1-2,,true,,533,414,2,2,http://localhost:8080/api/v1/product/1/price/,11,0,0
1679496865527,8,S01_T01_LaunchApp  /api/v1/product/1/price/ ,200,,Thread Group 1-2,text,true,,531,410,2,2,http://localhost:8080/api/v1/product/1/price/,7,0,0
