timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679593880618,12,S01_T01_LaunchApp-15,200,,Thread Group 1-1,text,true,,1531,367,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,11,0,0
1679593880651,9,S01_T01_LaunchApp-16,200,,Thread Group 1-1,text,true,,511,372,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,8,0,0
1679593880739,65,S01_T01_LaunchApp-17,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,65,0,0
1679593880819,96,S01_T01_LaunchApp-18,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,96,0,0
1679593880944,40,S01_T01_LaunchApp-19,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/50/price/,40,0,0
1679593881004,23,S01_T01_LaunchApp-20,200,,Thread Group 1-1,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,23,0,0
1679593881061,23,S01_T01_LaunchApp-21,200,,Thread Group 1-1,,true,,533,414,5,5,http://localhost:8080/api/v1/product/1/price/,23,0,0
1679593881104,33,S01_T01_LaunchApp-22,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,33,0,0
1679593881191,55,S01_T01_LaunchApp-23,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/51/price/,55,0,0
1679593881272,30,S01_T01_LaunchApp-24,200,,Thread Group 1-1,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,30,0,0
1679593881401,10,S01_T01_LaunchApp-25,200,,Thread Group 1-1,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,10,0,0
1679593881432,13,S01_T01_LaunchApp-26,200,,Thread Group 1-1,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,12,0,0
1679593881464,7,S01_T01_LaunchApp-27,200,,Thread Group 1-1,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,7,0,0
1679593881473,9,S01_T01_LaunchApp-28,200,,Thread Group 1-1,text,true,,529,411,5,5,http://localhost:8080/api/v1/product/50/price/,9,0,0
1679593881500,11,S01_T01_LaunchApp-29,200,,Thread Group 1-1,text,true,,531,410,5,5,http://localhost:8080/api/v1/product/1/price/,10,0,0
1679593881551,10,S01_T01_LaunchApp-30,200,,Thread Group 1-1,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,9,0,0
1679593881621,7,S01_T01_LaunchApp-31,200,,Thread Group 1-1,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,7,0,0
1679593881723,12,S01_T01_LaunchApp-32,200,,Thread Group 1-1,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/51/price/,12,0,0
1679593874471,964,S01_T06_SelectRandomChair,200,"Number of samples in transaction : 18, number of failing samples : 0",Thread Group 1-5,,true,,13699,9189,5,5,null,0,6840,0
1679593874478,341,S01_T06_SelectRandomChair-00,200,OK,Thread Group 1-5,text,true,,841,1466,5,5,https://m.stripe.com/6,341,0,0
1679593880774,22,S01_T06_SelectRandomChair-01,200,,Thread Group 1-5,,true,,533,397,5,5,http://localhost:8080/actuator/health/ping,22,0,0
1679593880841,11,S01_T06_SelectRandomChair-02,200,,Thread Group 1-5,text,true,,450,340,5,5,http://localhost:8080/actuator/health/ping,11,0,0
1679593880885,74,S01_T06_SelectRandomChair-03,200,,Thread Group 1-5,,true,,533,420,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,74,0,0
1679593880965,35,S01_T06_SelectRandomChair-04,200,,Thread Group 1-5,,true,,533,417,5,5,http://localhost:8080/api/v1/products/52?lang=en&store=DEFAULT,35,0,0
1679593881029,35,S01_T06_SelectRandomChair-05,200,,Thread Group 1-5,,true,,533,417,5,5,http://localhost:8080/api/v1/products/52/reviews?store=DEFAULT,35,0,0
1679593881158,18,S01_T06_SelectRandomChair-06,404,,Thread Group 1-5,text,true,,522,363,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,16,0,0
1679593881232,12,S01_T06_SelectRandomChair-07,200,,Thread Group 1-5,text,true,,2608,360,5,5,http://localhost:8080/api/v1/products/52?lang=en&store=DEFAULT,12,0,0
1679593881312,8,S01_T06_SelectRandomChair-08,200,,Thread Group 1-5,text,true,,437,360,5,5,http://localhost:8080/api/v1/products/52/reviews?store=DEFAULT,7,0,0
1679593881414,40,S01_T06_SelectRandomChair-09,200,,Thread Group 1-5,,true,,533,397,5,5,http://localhost:8080/api/v1/store/DEFAULT,40,0,0
1679593881522,39,S01_T06_SelectRandomChair-10,200,,Thread Group 1-5,,true,,533,436,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,39,0,0
1679593881583,32,S01_T06_SelectRandomChair-11,200,,Thread Group 1-5,,true,,533,431,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,32,0,0
1679593881698,6,S01_T06_SelectRandomChair-12,200,,Thread Group 1-5,text,true,,1163,340,5,5,http://localhost:8080/api/v1/store/DEFAULT,6,0,0
1679593881762,9,S01_T06_SelectRandomChair-13,200,,Thread Group 1-5,text,true,,511,379,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,9,0,0
1679593881819,9,S01_T06_SelectRandomChair-14,200,,Thread Group 1-5,text,true,,1531,374,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,8,0,0
1679593881904,40,S01_T06_SelectRandomChair-15,200,,Thread Group 1-5,,true,,533,415,5,5,http://localhost:8080/api/v1/product/52/price/,40,0,0
1679593882024,10,S01_T06_SelectRandomChair-16,200,,Thread Group 1-5,text,true,,531,411,5,5,http://localhost:8080/api/v1/product/52/price/,10,0,0
1679593882051,223,S01_T06_SelectRandomChair-17,200,OK,Thread Group 1-5,text,true,,841,1466,5,5,https://m.stripe.com/6,223,0,0
1679593880919,598,S01_T02_OpenTablesTab,200,"Number of samples in transaction : 9, number of failing samples : 0",Thread Group 1-3,,true,,14766,7912,5,5,null,0,1003,0
1679593880919,297,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread Group 1-3,,true,,10055,4707,5,5,null,0,705,0
1679593881004,6, /actuator/health/ping ,200,,Thread Group 1-3,,true,,533,397,5,5,http://localhost:8080/actuator/health/ping,6,0,0
1679593881062,4, /actuator/health/ping ,200,,Thread Group 1-3,text,true,,450,340,5,5,http://localhost:8080/actuator/health/ping,4,0,0
1679593881162,80, /api/v1/products/?&store=DEFAULT&lang=en&page=0&count=15&category=50 ,200,,Thread Group 1-3,,true,,533,444,5,5,http://localhost:8080/api/v1/products/?&store=DEFAULT&lang=en&page=0&count=15&category=50,80,0,0
1679593881244,37, /api/v1/content/boxes/headerMessage/?lang=en ,200,,Thread Group 1-3,,true,,533,420,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,37,0,0
1679593881282,10, /api/v1/content/boxes/headerMessage/ ,404,,Thread Group 1-3,text,true,,522,363,5,5,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,9,0,0
1679593881376,12, /api/v1/products/ ,200,,Thread Group 1-3,text,true,,2680,386,5,5,http://localhost:8080/api/v1/products/?store=DEFAULT&lang=en&page=0&count=15&category=50,11,0,0
1679593881472,45, /api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en ,200,,Thread Group 1-3,,true,,533,436,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,45,0,0
1679593881593,31, /api/v1/category/?count=20&page=0&store=DEFAULT&lang=en ,200,,Thread Group 1-3,,true,,533,431,5,5,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,31,0,0
1679593881705,46, /api/v1/store/DEFAULT ,200,,Thread Group 1-3,,true,,533,397,5,5,http://localhost:8080/api/v1/store/DEFAULT,46,0,0
1679593881839,10, /api/v1/content/pages/ ,200,,Thread Group 1-3,text,true,,511,379,5,5,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,10,0,0
1679593881867,7, /api/v1/store/DEFAULT ,200,,Thread Group 1-3,text,true,,1163,340,5,5,http://localhost:8080/api/v1/store/DEFAULT,7,0,0
